session;treatment;period;phase;profit;subject;q;qi_min;Subject;client;Geschlecht;Alter;Trust_1;Trust_2;LM_1;LM_2;LM_3;LM_4;LM_5;LM_6;LM_7;LM_8;LM_9;LM_10;MM_1;MM_2;MM_3;MM_4;MM_5;MM_6;Studiengang;#N;#E;#T
S01;weakR;5;1;227;3;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;194.02;4;47;47;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;265.5;5;65;60;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;344.38;6;31;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;306;7;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;178;8;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;270;9;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;292;10;40;35;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;270;11;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;244;12;60;45;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;152;13;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;320;14;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;339.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;1;207.5;16;75;75;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;170;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;159.5;2;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;159.5;3;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;170;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;226;5;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;198.72;6;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;193.5;7;35;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;221.5;8;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;234;9;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;239.5;10;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;180;11;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;227.5;12;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;239.5;13;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;234;14;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;239.5;15;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;2;154;16;60;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;204;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;199.5;2;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;180;3;30;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;199.5;4;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;226;5;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;198.72;6;32;32;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;193.5;7;35;35;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;221.5;8;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;252.5;9;25;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;252.5;10;25;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;205;11;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;236.5;12;35;25;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;244.5;13;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;239;14;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;244.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;2;144.5;16;65;60;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;229.5;1;15;10;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;229.5;2;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;210;3;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;192;4;40;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;231;5;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;2;203.72;6;32;32;;;;;;;;;;;;;;;;;;;;;;;;;;
